1,"Сигнал №1/ СО-КЦ-122/  10.10.2014 15:44:03    ",Неработещо улично осветление.,"
            Пред вх.А и вх.Б на бл. 359 не светят две улични лампи. Стълбовете не са много високи, а осветителните тела са кълбовидни - приличат на парково осветление. Блокът е краен, входовете също - няма друго осветление наоколо.
        ",Приключен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
4,"Сигнал №4/  11.10.2014 13:48:06    ",Petya Bogdanova,"
            Таблет скрива се прозореца за писане
        ",Приключен,Инф. системи на Столична община / Проблем при работата с Портала за услуги,"Инф. системи на Столична община "," Проблем при работата с Портала за услуги"
5,"Сигнал №5/  11.10.2014 17:49:36    ",Работещо улично осветление през деня.,"
            В квартал Драгалевци уличното осветление свети денонощно от две-три седмици. В 17.47 деж.оператор на КЦ уведоми Улично осветление - деж. Синдакова, откъдето отговориха, че в момента тече ремонт.
        ",Приключен,"Улично осветление / Улично осветление, работещо през деня","Улично осветление "," Улично осветление, работещо през деня"
6,"Сигнал №6/  13.10.2014 09:36:09    ",Неработещо улично осветление,"
            Проблем с улично осветление в район Нови Искър, с. Кубратово, ул. Стефан Стамболов 12.&nbsp;На този адрес има стълб с улично осветление, върху който има гнездо на щъркели и често уличната лампа не свети.
        ",Отхвърлен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
7,"Сигнал №7/ СО-КЦ-123/  13.10.2014 12:05:44    ",Неработещо ул. осветление,"
            Неколкократно подаден сигнал в Улично осветление. След ремонт две от лампите не светят.Отговорният колега бил в отпуск до 6.10.2014г.
        ",Приключен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
8,"Сигнал №8/ СО-КЦ-124/  13.10.2014 14:24:01    ",Неработещо улично осветление,"
            Проблем с улично осветление в район Нови Искър, с. Кубратово, ул. Стефан Стамболов 12.&nbsp;На този адрес има стълб с улично осветление, върху който има гнездо на щъркели и често уличната лампа не свети.
        ",Приключен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
9,"Сигнал №9/ СО-КЦ-125/  13.10.2014 16:54:47    ",Улицата е в 20 см дупки,"
            Ремонтирани са съседните улици но тази е останала без ремонт
        ",Приключен,"Пътна инфраструктура / Дупки, пропадане или издигане на настилката на пътното платно или тротоара ","Пътна инфраструктура "," Дупки, пропадане или издигане на настилката на пътното платно или тротоара "
10,"Сигнал №10/ Към СО-КЦ-125-[1]/  13.10.2014 16:57:25    ",Наличие на огромни дупки по пътната настилка,"
            Здравейте, желая да подам сигнал за наличието на множество на брой с различна големина дупки. На въпросната улица се намира и пункт за изкупуване на пластмасови и стъклени отпадъци, като през голяма част от времето на улицата са разположени няколко камиона. Въпросната улица е с дължина от около 150 метра, като на нея има около 20-30 дупки с диаметър до около 40-50 см. и дълбочина до около 15-20 см.
Преди около 5-6 месеца съседните улици бяха ремонтирани по метода с пълнене на дупки със смес, но тази улица не бе ремонтирана. Предвид наближаващия зимен сезон смятам, че е добре да бъде ремонтирана улицата за доброто на всички живущи наоколо.
        ",Приключен,"Пътна инфраструктура / Дупки, пропадане или издигане на настилката на пътното платно или тротоара ","Пътна инфраструктура "," Дупки, пропадане или издигане на настилката на пътното платно или тротоара "
11,"Сигнал №11/ СО-КЦ-126/  13.10.2014 18:12:11    ","Няма сигнализация, че улицата е в ремонт","
            В момента се извършва ремонт и няма знак за ремонт на пътя.
        ",Приключен,"Пътна сигнализация / Липсващи или повредени пътни знаци ","Пътна сигнализация "," Липсващи или повредени пътни знаци "
12,"Сигнал №12/ СО-КЦ-127/  13.10.2014 20:07:14    ",Неработещо улично осветление,"
            На стълбите, водещи от улица ""Будапеща"" към улица ""Московска"",&nbsp;от&nbsp;три месеца са счупени и не светят две от лампите на уличното осветление.&nbsp;
        ",Приключен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
